metrics_int_fid,metrics_int_fid_clip,metrics_int_inception_score,metrics_int_kid,metrics_nvidia_fid,metrics_nvidia_kid,metrics_nvidia_precision,metrics_nvidia_recall,experiment_name,subfolder
252.53181451548022,36.36452543428773,"[1.7803520599089095, 0.0]",0.2604943677977977,221.80029363997775,0.23657629577077086,0.6713799834251404,0.0026599999982863665,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-1-0.5-half-half
243.20193799961754,36.147614093689725,"[1.876298566419527, 0.0]",0.2470558088138139,204.70565570360395,0.21039086385135136,0.6672400236129761,0.005499999970197678,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-1-0.5-img
266.2970628997455,37.51808703860138,"[1.6477804764291644, 0.0]",0.28016123783283287,236.41391335736958,0.25865311792042045,0.700160026550293,0.0006000000284984708,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-1-0.5-mask
164.54835005175835,27.200356738915147,"[3.1490341490037577, 0.0]",0.13195224702202205,144.89999108373274,0.11794323581581581,0.4437600076198578,0.0041600000113248825,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-10-0.5-half-half
153.0591600200355,25.94278753580545,"[3.3243023879257794, 0.0]",0.11603807868868864,136.97558849314106,0.10587003238988993,0.471780002117157,0.00824000034481287,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-10-0.5-img
164.7447152270688,27.059570906412063,"[3.1590034737374015, 0.0]",0.13264428670420414,144.5472454784405,0.11619827947697695,0.44501999020576477,0.0040799998678267,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-10-0.5-mask
199.5224136647625,30.80038581639962,"[2.3363993088447472, 0.0]",0.18868770184934935,170.33925127504622,0.16441824238488478,0.6146000027656555,0.005140000022947788,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-2-0.5-half-half
189.8802634369996,30.337839698322647,"[2.4923302146016155, 0.0]",0.17456448776776767,157.48933039895968,0.14392809479229232,0.6273800134658813,0.009580000303685665,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-2-0.5-img
207.01531346128235,31.20507355699212,"[2.2223740694622474, 0.0]",0.19883963086836828,176.65008379638925,0.1724712716791792,0.6266999840736389,0.003800000064074993,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-2-0.5-mask
172.07091586380994,27.810558514643418,"[2.775145135627032, 0.0]",0.15256695314064073,145.91546325080185,0.13047418173173164,0.5943199992179871,0.005499999970197678,cifar10_RGB_8_bits_1000_steps_quad_weights_ones_weights_mask_ones_adamw_lr_1e-4_bs_256_CFG_0.1_2ways,samples-ema-10-3-0.5-half-half
