dataset,model,metric,key,is_baseline,strategy,use_t_next,renoise_factor,n_timesteps,schedule,mean,std,baseline_mean,delta_vs_baseline
adult,RF,accuracy,st=target__tnxt=T__rn=2__T=5__sc=const,False,target,True,2.0,5,const,0.8290233415233415,0.004311365508720974,0.8221437346437346,0.00687960687960687
adult,LR,accuracy,st=target__tnxt=T__rn=1__T=10__sc=const,False,target,True,1.0,10,const,0.8252457002457003,0.0024512370932720847,0.8376842751842751,-0.012438574938574809
adult,DT,accuracy,st=target__tnxt=T__rn=1__T=10__sc=const,False,target,True,1.0,10,const,0.8202702702702703,0.0023482536675203222,0.8206388206388207,-0.0003685503685503244
adult,RF,accuracy,st=target__tnxt=T__rn=1__T=10__sc=const,False,target,True,1.0,10,const,0.8208538083538084,0.003878300745040367,0.8221437346437346,-0.001289926289926191
adult,LR,accuracy,st=target__tnxt=T__rn=1.5__T=10__sc=const,False,target,True,1.5,10,const,0.8474508599508599,0.00281585505957053,0.8376842751842751,0.009766584766584763
adult,DT,accuracy,st=target__tnxt=T__rn=1.5__T=10__sc=const,False,target,True,1.5,10,const,0.8336609336609337,0.00571236558901137,0.8206388206388207,0.013022113022113091
adult,RF,accuracy,st=target__tnxt=T__rn=1.5__T=10__sc=const,False,target,True,1.5,10,const,0.8289619164619164,0.005879985993233622,0.8221437346437346,0.006818181818181834
adult,LR,accuracy,st=target__tnxt=T__rn=2__T=10__sc=const,False,target,True,2.0,10,const,0.8463759213759214,0.0017765546515945486,0.8376842751842751,0.008691646191646307
adult,DT,accuracy,st=target__tnxt=T__rn=2__T=10__sc=const,False,target,True,2.0,10,const,0.8332923832923832,0.0028358827305869478,0.8206388206388207,0.012653562653562545
adult,RF,accuracy,st=target__tnxt=T__rn=2__T=10__sc=const,False,target,True,2.0,10,const,0.8325859950859951,0.005681735174372094,0.8221437346437346,0.010442260442260487
adult,LR,accuracy,st=target__tnxt=T__rn=1__T=20__sc=const,False,target,True,1.0,20,const,0.8265663390663391,0.002981805568800959,0.8376842751842751,-0.01111793611793599
adult,DT,accuracy,st=target__tnxt=T__rn=1__T=20__sc=const,False,target,True,1.0,20,const,0.8256142506142506,0.003583772025998728,0.8206388206388207,0.00497542997542999
adult,RF,accuracy,st=target__tnxt=T__rn=1__T=20__sc=const,False,target,True,1.0,20,const,0.8211609336609337,0.003763507047184361,0.8221437346437346,-0.0009828009828009021
adult,LR,accuracy,st=target__tnxt=T__rn=1.5__T=20__sc=const,False,target,True,1.5,20,const,0.8446253071253071,0.0018360854026578683,0.8376842751842751,0.0069410319410320165
adult,DT,accuracy,st=target__tnxt=T__rn=1.5__T=20__sc=const,False,target,True,1.5,20,const,0.8348894348894349,0.007344983750089672,0.8206388206388207,0.014250614250614246
adult,RF,accuracy,st=target__tnxt=T__rn=1.5__T=20__sc=const,False,target,True,1.5,20,const,0.8295147420147421,0.004338409952551238,0.8221437346437346,0.0073710073710074875
adult,LR,accuracy,st=target__tnxt=T__rn=2__T=20__sc=const,False,target,True,2.0,20,const,0.8462530712530713,0.0036770480396696543,0.8376842751842751,0.008568796068796125
adult,DT,accuracy,st=target__tnxt=T__rn=2__T=20__sc=const,False,target,True,2.0,20,const,0.8307432432432431,0.00843695076052094,0.8206388206388207,0.010104422604422458
adult,RF,accuracy,st=target__tnxt=T__rn=2__T=20__sc=const,False,target,True,2.0,20,const,0.83252457002457,0.004367879063347382,0.8221437346437346,0.010380835380835451
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=const,False,mask,False,1.0,2,const,0.8306203931203932,0.0052625184252098126,0.8376842751842751,-0.007063882063881977
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=const,False,mask,False,1.0,2,const,0.8273341523341525,0.008204673090939767,0.8206388206388207,0.006695331695331874
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=const,False,mask,False,1.0,2,const,0.8228501228501228,0.0010167656853345916,0.8221437346437346,0.0007063882063882421
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=linear,False,mask,False,1.0,2,linear,0.8207309582309582,0.004550846791644089,0.8376842751842751,-0.01695331695331692
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=linear,False,mask,False,1.0,2,linear,0.766431203931204,0.0180640860888452,0.8206388206388207,-0.054207616707616646
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=linear,False,mask,False,1.0,2,linear,0.7613022113022113,0.006978979133825791,0.8221437346437346,-0.06084152334152326
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=quad,False,mask,False,1.0,2,quad,0.817997542997543,0.006360831300034359,0.8376842751842751,-0.019686732186732114
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=quad,False,mask,False,1.0,2,quad,0.7604729729729729,0.0011342865671142381,0.8206388206388207,-0.06016584766584776
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=2__sc=quad,False,mask,False,1.0,2,quad,0.7589987714987714,0.006117578411337991,0.8221437346437346,-0.0631449631449632
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=const,False,mask,False,1.0,5,const,0.8347358722358722,0.0021790751566421133,0.8376842751842751,-0.0029484029484029284
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=const,False,mask,False,1.0,5,const,0.8281941031941032,0.0038585500674544024,0.8206388206388207,0.007555282555282594
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=const,False,mask,False,1.0,5,const,0.8183353808353809,0.003139595869204651,0.8221437346437346,-0.0038083538083536483
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=linear,False,mask,False,1.0,5,linear,0.8227272727272726,0.0032234992047670504,0.8376842751842751,-0.014957002457002488
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=linear,False,mask,False,1.0,5,linear,0.760933660933661,0.0005939520763456476,0.8206388206388207,-0.05970515970515966
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=linear,False,mask,False,1.0,5,linear,0.7675061425061426,0.010616056243725254,0.8221437346437346,-0.054637592137592006
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=quad,False,mask,False,1.0,5,quad,0.8228194103194104,0.003242172781424262,0.8376842751842751,-0.014864864864864713
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=quad,False,mask,False,1.0,5,quad,0.7606879606879606,0.0001842751842751585,0.8206388206388207,-0.059950859950860025
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=5__sc=quad,False,mask,False,1.0,5,quad,0.7748464373464374,0.0070487767134283195,0.8221437346437346,-0.04729729729729715
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=const,False,mask,False,1.0,10,const,0.8311117936117937,0.003025457089932374,0.8376842751842751,-0.00657248157248147
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=const,False,mask,False,1.0,10,const,0.8242936117936118,0.0030810654063843867,0.8206388206388207,0.0036547911547911704
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=const,False,mask,False,1.0,10,const,0.8148955773955775,0.0032714251897677975,0.8221437346437346,-0.007248157248157083
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=linear,False,mask,False,1.0,10,linear,0.8176597051597051,0.0027617379786691078,0.8376842751842751,-0.020024570024570032
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=linear,False,mask,False,1.0,10,linear,0.7941031941031941,0.004522570057542995,0.8206388206388207,-0.026535626535626577
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=linear,False,mask,False,1.0,10,linear,0.790970515970516,0.002432696111586342,0.8221437346437346,-0.03117321867321854
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=quad,False,mask,False,1.0,10,quad,0.8186425061425062,0.0031200061668796904,0.8376842751842751,-0.019041769041768908
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=quad,False,mask,False,1.0,10,quad,0.799017199017199,0.00108758791213917,0.8206388206388207,-0.021621621621621623
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=10__sc=quad,False,mask,False,1.0,10,quad,0.7937960687960688,0.002822212532594628,0.8221437346437346,-0.028347665847665793
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=const,False,mask,False,1.0,20,const,0.8253378378378379,0.0028325546192060837,0.8376842751842751,-0.012346437346437256
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=const,False,mask,False,1.0,20,const,0.8210995085995085,0.0025824106891373187,0.8206388206388207,0.00046068796068787776
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=const,False,mask,False,1.0,20,const,0.815386977886978,0.003630579685207584,0.8221437346437346,-0.006756756756756577
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=linear,False,mask,False,1.0,20,linear,0.8217751842751844,0.004760541332091102,0.8376842751842751,-0.01590909090909076
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=linear,False,mask,False,1.0,20,linear,0.8022113022113022,0.003802652862231231,0.8206388206388207,-0.01842751842751844
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=linear,False,mask,False,1.0,20,linear,0.7980651105651105,0.0010988049029483087,0.8221437346437346,-0.024078624078624045
adult,LR,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=quad,False,mask,False,1.0,20,quad,0.8207309582309582,0.0018997134022349133,0.8376842751842751,-0.01695331695331692
adult,DT,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=quad,False,mask,False,1.0,20,quad,0.8047297297297297,0.004706739170747898,0.8206388206388207,-0.015909090909090984
adult,RF,accuracy,st=mask__tnxt=F__rn=1__T=20__sc=quad,False,mask,False,1.0,20,quad,0.7997850122850123,0.0014964284662260235,0.8221437346437346,-0.02235872235872227
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=const,False,mask,True,1.0,2,const,0.8375307125307125,0.0021033038904501337,0.8376842751842751,-0.0001535626535625889
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=const,False,mask,True,1.0,2,const,0.8285319410319409,0.01170328779306015,0.8206388206388207,0.00789312039312029
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=const,False,mask,True,1.0,2,const,0.831603194103194,0.0017308357252586509,0.8221437346437346,0.009459459459459474
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=const,False,mask,True,1.5,2,const,0.8402948402948404,0.0026294661907867237,0.8376842751842751,0.0026105651105652328
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=const,False,mask,True,1.5,2,const,0.8282555282555283,0.005835057536627968,0.8206388206388207,0.00761670761670763
adult,RF,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=const,False,mask,True,1.5,2,const,0.8344594594594594,0.0019400014370213377,0.8221437346437346,0.012315724815724849
adult,LR,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=const,False,mask,True,2.0,2,const,0.8352886977886979,0.0028524650420150796,0.8376842751842751,-0.0023955773955772752
adult,DT,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=const,False,mask,True,2.0,2,const,0.8349508599508599,0.0025721629872493905,0.8206388206388207,0.014312039312039282
adult,RF,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=const,False,mask,True,2.0,2,const,0.8297604422604422,0.003192626288677166,0.8221437346437346,0.00761670761670763
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=linear,False,mask,True,1.0,2,linear,0.8348587223587224,0.0037597456706436037,0.8376842751842751,-0.0028255528255527462
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=linear,False,mask,True,1.0,2,linear,0.7914004914004913,0.03285804467119497,0.8206388206388207,-0.029238329238329364
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=linear,False,mask,True,1.0,2,linear,0.8218058968058969,0.006731301166669829,0.8221437346437346,-0.0003378378378376956
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=linear,False,mask,True,1.5,2,linear,0.8330466830466831,0.003255238501777888,0.8376842751842751,-0.0046375921375920726
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=linear,False,mask,True,1.5,2,linear,0.8233415233415233,0.00543238603700475,0.8206388206388207,0.002702702702702675
adult,RF,accuracy,st=mask__tnxt=T__rn=1.5__T=2__sc=linear,False,mask,True,1.5,2,linear,0.8231265356265356,0.004987737681651553,0.8221437346437346,0.0009828009828010131
adult,LR,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=linear,False,mask,True,2.0,2,linear,0.8312039312039312,0.004942141499435071,0.8376842751842751,-0.006480343980343917
adult,DT,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=linear,False,mask,True,2.0,2,linear,0.7980958230958232,0.027708660701562263,0.8206388206388207,-0.02254299754299749
adult,RF,accuracy,st=mask__tnxt=T__rn=2__T=2__sc=linear,False,mask,True,2.0,2,linear,0.8197788697788699,0.010419924804424921,0.8221437346437346,-0.0023648648648646464
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=quad,False,mask,True,1.0,2,quad,0.8276719901719902,0.005778038443687922,0.8376842751842751,-0.010012285012284905
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=2__sc=quad,False,mask,True,1.0,2,quad,0.8285933660933662,0.012677394603585032,0.8206388206388207,0.007954545454545547
