folder,n_timesteps,guidance,threshold,strategy,renoise_factor,use_t_next,schedule,fid,fid_clip,inception_score,kid
BASELINE,10,6,0.5,half-half,1.0,False,const,150.2776235690896,25.561349863818407,3.330822329767532,0.11888039213213208
BASELINE,10,6,0.5,img,1.0,False,const,142.2594332372641,24.630539742910017,3.463763115698798,0.10729621452952949
BASELINE,10,6,0.5,mask,1.0,False,const,150.34414764766052,25.24268672046113,3.312497759719715,0.11943749965715714
BASELINE,100,6,0.5,half-half,1.0,False,const,19.488834372041424,5.53479613208124,7.657624901735063,0.007747000720720734
BASELINE,100,6,0.5,img,1.0,False,const,19.293022047661736,5.587356068853566,7.653832222653657,0.0077315318043043495
BASELINE,100,6,0.5,mask,1.0,False,const,20.522888092012067,5.609039727848398,7.621801270082771,0.008258564907407425
best_cifar10,10,6,0.5,half-half,1.0,False,const,153.82166177596014,25.803416096438127,3.2371728480691755,0.12364102405655661
best_cifar10,10,6,0.5,half-half,1.0,False,linear,218.46351864052497,33.67693832249056,2.2709083623261797,0.2119518495245246
best_cifar10,10,6,0.5,half-half,1.0,False,quad,218.22000001958156,33.62790009356304,2.2764564117428394,0.2113029495895895
best_cifar10,10,6,0.5,half-half,1.0,True,const,65.0158067581437,15.256077615041853,5.296443524617508,0.04390397470720718
best_cifar10,10,6,0.5,half-half,1.0,True,linear,68.50816379554328,15.81848021193889,5.228413235532171,0.04827389976476483
best_cifar10,10,6,0.5,half-half,1.0,True,quad,68.36204439676288,15.815554398125556,5.210078581918808,0.047950111088588585
best_cifar10,10,6,0.5,half-half,1.5,False,const,153.6727185602394,25.833102261509396,3.252281680576319,0.1234595786786787
best_cifar10,10,6,0.5,half-half,1.5,False,linear,218.26749624777213,33.588231305054364,2.272536234397017,0.21152050885635632
best_cifar10,10,6,0.5,half-half,1.5,False,quad,218.30653246660515,33.67719288521749,2.2716651489473563,0.21075191349099093
best_cifar10,10,6,0.5,half-half,1.5,True,const,193.7517473673014,30.832016310876128,2.6822436994401615,0.15431869917167168
best_cifar10,10,6,0.5,half-half,1.5,True,linear,206.98913140269758,32.838667008073,2.483596274161344,0.17355205065065077
best_cifar10,10,6,0.5,half-half,1.5,True,quad,206.9458326000974,32.80160715509632,2.4828571856046646,0.17300283732232236
best_cifar10,10,6,0.5,half-half,2.0,False,const,153.51742240515915,25.770349258550752,3.2601734848495005,0.12357476525775773
best_cifar10,10,6,0.5,half-half,2.0,False,linear,218.30448122815102,33.70781807288325,2.2833938425289526,0.21128432586836843
best_cifar10,10,6,0.5,half-half,2.0,False,quad,217.8724106910603,33.679712326700134,2.281992230517648,0.21099239179429438
best_cifar10,10,6,0.5,half-half,2.0,True,const,256.7200339092149,39.82443521768017,2.1455828410647464,0.21983122713713715
best_cifar10,10,6,0.5,half-half,2.0,True,linear,272.2429091711066,43.56754341121141,1.8641409311352486,0.24636351057557554
best_cifar10,10,6,0.5,half-half,2.0,True,quad,272.25538306086526,43.556239803570605,1.8698629559162643,0.2466826380505505
best_cifar10,10,6,0.5,img,1.0,False,const,145.64660542211345,24.77702754730352,3.3903637650590466,0.113056125437938
best_cifar10,10,6,0.5,img,1.0,False,linear,144.58413817836305,24.68762506837794,3.4292352466326506,0.1114789513813814
best_cifar10,10,6,0.5,img,1.0,False,quad,145.05144032800388,24.625509815702785,3.403499292080612,0.11181643210210208
best_cifar10,10,6,0.5,img,1.0,True,const,63.198701261959,14.885032045910364,5.289489829743196,0.04142876407657656
best_cifar10,10,6,0.5,img,1.0,True,linear,62.35067956518503,14.758879853565475,5.335675301008789,0.04095734587587587
best_cifar10,10,6,0.5,img,1.0,True,quad,62.85207389796881,14.812836912722652,5.350427600851706,0.041553797439939956
best_cifar10,10,6,0.5,img,1.5,False,const,145.08625400721127,24.723616608224148,3.4133553839925432,0.11192521840590594
